iso_code;date;people_fully_vaccinated;population;pfv
OWID_AFR;24/06/2020;;1340598113;
OWID_AFR;25/06/2020;;1340598113;
OWID_AFR;26/06/2020;;1340598113;
OWID_AFR;27/06/2020;;1340598113;
OWID_AFR;28/06/2020;;1340598113;
OWID_AFR;29/06/2020;;1340598113;
OWID_AFR;30/06/2020;;1340598113;
OWID_AFR;01/07/2020;;1340598113;
OWID_AFR;02/07/2020;;1340598113;
OWID_AFR;03/07/2020;;1340598113;
OWID_AFR;04/07/2020;;1340598113;
OWID_AFR;05/07/2020;;1340598113;
OWID_AFR;06/07/2020;;1340598113;
OWID_AFR;07/07/2020;;1340598113;
OWID_AFR;08/07/2020;;1340598113;
OWID_AFR;09/07/2020;;1340598113;
OWID_AFR;10/07/2020;;1340598113;
OWID_AFR;11/07/2020;;1340598113;
OWID_AFR;12/07/2020;;1340598113;
OWID_AFR;13/07/2020;;1340598113;
OWID_AFR;14/07/2020;;1340598113;
OWID_AFR;15/07/2020;;1340598113;
OWID_AFR;16/07/2020;;1340598113;
OWID_AFR;17/07/2020;;1340598113;
OWID_AFR;18/07/2020;;1340598113;
OWID_AFR;19/07/2020;;1340598113;
OWID_AFR;20/07/2020;;1340598113;
OWID_AFR;21/07/2020;;1340598113;
OWID_AFR;22/07/2020;;1340598113;
OWID_AFR;23/07/2020;;1340598113;
OWID_AFR;24/07/2020;;1340598113;
OWID_AFR;25/07/2020;;1340598113;
OWID_AFR;26/07/2020;;1340598113;
OWID_AFR;27/07/2020;;1340598113;
OWID_AFR;28/07/2020;;1340598113;
OWID_AFR;29/07/2020;;1340598113;
OWID_AFR;30/07/2020;;1340598113;
OWID_AFR;31/07/2020;;1340598113;
OWID_AFR;01/08/2020;;1340598113;
OWID_AFR;02/08/2020;;1340598113;
OWID_AFR;03/08/2020;;1340598113;
OWID_AFR;04/08/2020;;1340598113;
OWID_AFR;05/08/2020;;1340598113;
OWID_AFR;06/08/2020;;1340598113;
OWID_AFR;07/08/2020;;1340598113;
OWID_AFR;08/08/2020;;1340598113;
OWID_AFR;09/08/2020;;1340598113;
OWID_AFR;10/08/2020;;1340598113;
OWID_AFR;11/08/2020;;1340598113;
OWID_AFR;12/08/2020;;1340598113;
OWID_AFR;13/08/2020;;1340598113;
OWID_AFR;14/08/2020;;1340598113;
OWID_AFR;15/08/2020;;1340598113;
OWID_AFR;16/08/2020;;1340598113;
OWID_AFR;17/08/2020;;1340598113;
OWID_AFR;18/08/2020;;1340598113;
OWID_AFR;19/08/2020;;1340598113;
OWID_AFR;20/08/2020;;1340598113;
OWID_AFR;21/08/2020;;1340598113;
OWID_AFR;22/08/2020;;1340598113;
OWID_AFR;23/08/2020;;1340598113;
OWID_AFR;24/08/2020;;1340598113;
OWID_AFR;25/08/2020;;1340598113;
OWID_AFR;26/08/2020;;1340598113;
OWID_AFR;27/08/2020;;1340598113;
OWID_AFR;28/08/2020;;1340598113;
OWID_AFR;29/08/2020;;1340598113;
OWID_AFR;30/08/2020;;1340598113;
OWID_AFR;31/08/2020;;1340598113;
OWID_AFR;01/09/2020;;1340598113;
OWID_AFR;02/09/2020;;1340598113;
OWID_AFR;03/09/2020;;1340598113;
OWID_AFR;04/09/2020;;1340598113;
OWID_AFR;05/09/2020;;1340598113;
OWID_AFR;06/09/2020;;1340598113;
OWID_AFR;07/09/2020;;1340598113;
OWID_AFR;08/09/2020;;1340598113;
OWID_AFR;09/09/2020;;1340598113;
OWID_AFR;10/09/2020;;1340598113;
OWID_AFR;11/09/2020;;1340598113;
OWID_AFR;12/09/2020;;1340598113;
OWID_AFR;13/09/2020;;1340598113;
OWID_AFR;14/09/2020;;1340598113;
OWID_AFR;15/09/2020;;1340598113;
OWID_AFR;16/09/2020;;1340598113;
OWID_AFR;17/09/2020;;1340598113;
OWID_AFR;18/09/2020;;1340598113;
OWID_AFR;19/09/2020;;1340598113;
OWID_AFR;20/09/2020;;1340598113;
OWID_AFR;21/09/2020;;1340598113;
OWID_AFR;22/09/2020;;1340598113;
OWID_AFR;23/09/2020;;1340598113;
OWID_AFR;24/09/2020;;1340598113;
OWID_AFR;25/09/2020;;1340598113;
OWID_AFR;26/09/2020;;1340598113;
OWID_AFR;27/09/2020;;1340598113;
OWID_AFR;28/09/2020;;1340598113;
OWID_AFR;29/09/2020;;1340598113;
OWID_AFR;30/09/2020;;1340598113;
OWID_AFR;01/10/2020;;1340598113;
OWID_AFR;02/10/2020;;1340598113;
OWID_AFR;03/10/2020;;1340598113;
OWID_AFR;04/10/2020;;1340598113;
OWID_AFR;05/10/2020;;1340598113;
OWID_AFR;06/10/2020;;1340598113;
OWID_AFR;07/10/2020;;1340598113;
OWID_AFR;08/10/2020;;1340598113;
OWID_AFR;09/10/2020;;1340598113;
OWID_AFR;10/10/2020;;1340598113;
OWID_AFR;11/10/2020;;1340598113;
OWID_AFR;12/10/2020;;1340598113;
OWID_AFR;13/10/2020;;1340598113;
OWID_AFR;14/10/2020;;1340598113;
OWID_AFR;15/10/2020;;1340598113;
OWID_AFR;16/10/2020;;1340598113;
OWID_AFR;17/10/2020;;1340598113;
OWID_AFR;18/10/2020;;1340598113;
OWID_AFR;19/10/2020;;1340598113;
OWID_AFR;20/10/2020;;1340598113;
OWID_AFR;21/10/2020;;1340598113;
OWID_AFR;22/10/2020;;1340598113;
OWID_AFR;23/10/2020;;1340598113;
OWID_AFR;24/10/2020;;1340598113;
OWID_AFR;25/10/2020;;1340598113;
OWID_AFR;26/10/2020;;1340598113;
OWID_AFR;27/10/2020;;1340598113;
OWID_AFR;28/10/2020;;1340598113;
OWID_AFR;29/10/2020;;1340598113;
